tanggal_laporan,tahun,wilayah,jenis_energi,tipe_provider,status_operasional,kapasitas_terpasang_mw,produksi_energi_gwh,populasi_terlayani,biaya_operasional,emisi_karbon_terpangkas,laju_efisiensi,skor_investasi,target_tercapai
2022-11-15,2022.0,Bali,Hydro,,,405.8131129049944,1241.543008804582,4.049587775433636,IDR 254838419,11084.97550935457,63.51009189248407,6.743301115349565,No
2022-01-12,2022.0,,Geothermal,Private,,953.1785910894204,1472.9634121875622,3.662664914198331,IDR 375905918,3175.423936181318,62.30864172434476,5.133632081807738,No
2023-07-24,2023.0,Sumatra,,,Maintenance,745.3942447208349,2578.1874402863227,2.1734621687771707,IDR 285706722,5526.2755683633495,82.95929412825923,9.680486723775468,Yes
2023-11-04,2023.0,Nusa Tenggara,Hydro,Foreign NGO,Maintenance,618.7255599871847,1086.0127195736873,6.269033365964136,IDR 50818265,10117.569234438364,96.71242025472468,2.970806058858144,Yes
2023-03-02,2023.0,Nusa Tenggara,Solar,Foreign NGO,Active,198.2177084203147,2621.984085955297,,IDR 100934316,7490.295495604959,79.10340974027952,6.290707743990466,No
2022-12-18,2022.0,Bali,Hydro,Government,Maintenance,198.1947943193925,355.5898498324053,8.724159427078035,IDR 117470810,11209.28006020596,61.9575785856936,7.301890134912004,Yes
2023-10-21,2023.0,Sulawesi,,Foreign NGO,,105.17943155978948,2352.715467905029,0.8050410145795535,IDR 136353484,14437.514567731463,68.40630893094334,8.430080404108434,No
2024-01-27,2024.0,Papua,Geothermal,,Active,872.8673384861884,2557.8881358587355,,IDR 287047662,2189.926971870364,,4.662739273852064,No
2023-03-27,2023.0,Sumatra,,Foreign NGO,,621.0592611560484,627.2711932282824,7.748014345859831,IDR 256943232,10788.731887771884,72.8385709072041,7.182297168917334,No
2023-09-12,2023.0,Sumatra,Wind,Government,Active,722.6689489062433,1348.0049438793812,7.715122407288916,IDR 109548418,3839.9902566656606,61.65692857627608,3.728813242458545,Yes
2023-10-31,2023.0,jawa,Hydro,,Broken,69.55526958101233,579.9493465246013,8.917702687407488,IDR 43101873,6509.912547409754,94.38592261892082,,No
2022-08-03,2022.0,Java,Wind,Private,Maintenance,971.4143595538948,2149.1519740832314,,IDR 94001780,976.5095240295276,79.59142989941682,9.060644180830591,Yes
2022-02-04,2022.0,Sumatra,Wind,Foreign NGO,Broken,840.8205087604007,1652.5085273788045,9.314195585653115,IDR 492346843,2470.657043244135,,9.549168483978589,Yes
2022-07-20,2022.0,Sumatra,Wind,Private,Broken,251.72215514436235,1942.437705454131,3.660237698298469,IDR 239588005,5136.770691209045,62.55256780201034,7.469356122345383,Yes
2022-10-22,2022.0,Sumatra,Geothermal,Private,Broken,222.7337188467456,669.8122041730123,5.280489459139659,IDR 434999297,5458.794176675781,62.05638777653868,4.369167016985665,No
2022-03-09,2022.0,Kalimantan,,Government,Active,224.23428436076213,714.0629999520166,0.6337568011874615,IDR 425888708,13543.98563870039,82.2857753375408,8.380520109771975,Yes
2023-04-04,2023.0,Java,Solar,,Active,339.0301308115608,220.34224397872848,0.5660970793812665,IDR 260644583,11256.28718436447,93.7172483991599,1.2328037355287815,No
2022-01-29,2022.0,Sumatra,Hydro,,Broken,548.518610050626,1033.9958520676162,2.781202894289439,IDR 356276977,14596.653038712097,,1.9247131948547893,No
2022-12-27,2022.0,Nusa Tenggara,Wind,Government,,460.34776771001,1723.2595178676577,1.45766837282131,IDR 104448485,,93.35712855766272,6.95236362737825,No
2023-03-28,2023.0,Nusa Tenggara,,Government,Maintenance,326.6676831881398,2588.0112505922534,2.972007995389659,IDR 347314385,4004.849115324111,90.81766837609908,,Yes
2022-04-02,2022.0,Papua,Geothermal,,Active,631.2602499862605,2034.089597630174,2.1819112980197755,IDR 143468443,5250.997933863821,62.88244386020699,9.5624759656043,Yes
2022-02-02,2022.0,Kalimantan,Solar,Foreign NGO,,182.5191676194397,1362.649337859279,0.7709402359671582,IDR 417710427,5137.620887733523,67.67438402665621,,No
2022-11-23,2022.0,Papua,,Foreign NGO,Maintenance,327.53741610845725,2864.048331743,9.13838939085747,IDR 51024825,5234.167751117148,84.99300542790301,,No
2022-10-06,2022.0,Sulawesi,,Private,Broken,398.0437511290071,2185.8110816699123,0.5781197481944695,IDR 388837949,10257.980510121328,76.85305253690157,7.102715591718382,No
2024-02-04,2024.0,Bali,S_Energy,Private,Broken,483.26648500618415,2797.479088301395,7.492780371202311,IDR 58969084,8196.714957311036,71.04659291858297,7.908117060755707,Yes
2022-06-14,2022.0,Nusa Tenggara,Geothermal,Private,Active,795.917163323363,1630.0051224892804,1.945404925735407,IDR 441782726,6088.650582256342,,5.280028643126228,Yes
2022-06-01,2022.0,Sulawesi,Solar,,Broken,239.69009305044176,850.8223969001049,9.1661814089962,IDR 159060213,2661.801646566391,,2.926008115405517,Yes
2022-05-13,2022.0,Sulawesi,Solar,Foreign NGO,Maintenance,538.5227164929311,253.19739045769376,8.981561426103916,IDR 330652748,821.0178626611157,94.60098553122066,7.959777784530594,No
